indx,glott_code,style,form,t1
indx093,abee1242,D,sika,ʃīɣá-ɛ̀
indx092,abid1235,D,sika,sìká-lébè
indx094,abro1238,D,sika,sìká-kɔ̀kɔ̀ɔ́
indx095,abur1243,D,sika,òsùkò-ḿplê
indx096,adio1239,D,sika,sìkà´
indx097,alla1248,D,sika,ã̀sɩ̀kɛ
indx091,anyi1245,D,sika,èsìkà-mã́lã̀
indx098,atti1239,D,sika,ʃìkā nã́
indx099,avik1243,D,sika,àʃɩ̀kɛ́
indx017,azer1256,B.1,kanye,"kanyè, kanynyè"
indx018,azer1256,B.2,sanye,al-saye
indx023,bala1301,B.2,sanye,-san„u
indx117,bamb1269,B.2,sani,sanou
indx071,bank1259,B.1,KANYE,káññè
indx100,baou1238,D,sika,sīkà-ɔ̄kwlɛ̀
indx020,bass1258,B.1,"kanye, mandak",kaÑÆ
indx163,beng1286,B.2,suate,suatɛ̃
indx072,bent1238,B.1,KANYE,káŋŋɛ̀
indx014,biss1248,B.2,"sarma, bala",salma
indx140,boko1266,A.2,mɔ̀vua / vua,vua
indx154,boko1267,K,goli,gō:lʊ
indx060,bond1248,B.1,KANYE,káŋŋè
indx142,busa1253,A.2,wura,wura
indx084,dalo1238,J,lolo,lɔlʋ
indx167,dann1241,B.2,sanu,se̤ŋ
indx016,dyul1238,B.2,sanye,séanu
indx090,ebri1238,D.2,ɛ̃́cí,ɛ̃́cí
indx044,egaa1242,D.1,sika,àsɩ̀kɛ́
indx169,gagu1242,D.1,sika,sika
indx082,godi1239,D.1,sika,sikaa
indx166,guro1248,B.1,KANYE,cã
indx013,hain1253,B.1,kanye,k·nÝ
indx051,haus1257,X,ginarwa,Ginarwa
indx002,humb1243,A.2,wura,ura
indx069,jams1239,B.1,KANYE,"kaŋŋɛ,kaŋŋa"
indx009,jena1242,B.1,kanye,kanu
indx010,jena1242,A.3,buro,mÆ˜ buro˜
indx034,kaby1243,C,DAHAB,ddheb
indx035,kaby1243,X,lwiz,lwiz
indx005,koyr1240,A.2,wura,ura–x
indx089,krob1245,D.2,sika,sìkā-pr̃ɛ̃́
indx024,mand1419,A,wura,"uwëru, uoru"
indx119,mand1436,B.2,sani,sanoo
indx030,mane1267,B.2,SANI,séanéin
indx012,maty1235,B.2,sanye,s·n·_
indx162,maty1235,B.2,sanu,sánnu
indx049,molo1266,X,ogaro,ogəro
indx058,momb1254,B.1,KANYE,káŋè
indx147,mwan1250,B.1,KANYE,càn n
indx070,nang1261,B.1,KANYE,káŋɛ̂
indx025,nucl1347,A.1,wura,wurrus
indx026,nucl1347,A.2,wura,"oor, urus, wurus"
indx027,nucl1347,A.1,wura,wurus w-
indx028,nucl1347,B,KANYE,xà´´méaa
indx087,nzim1238,D.2,sika,èzùkà kɔ́kɔ̀lɛ̄
indx068,perg1234,B.1,KANYE,káŋɛ̀
indx043,sere1260,A.1.c,wura,wurus
indx004,soni1259,B.1,kanye,kaNe
indx160,sout2844,B.2,sanu,sánā
indx042,taha1241,A.2,wura,ôurer‚
indx019,tama1365,A.2.b,wura,uragh
indx047,tama1365,A.2.b,oragh,orăɣŠa urəɣZa
indx036,taya1257,A.1.b,ouro,urŒgh
indx031,tidi1241,A.1.a,wura,urõ
indx032,tidi1241,C,DAHAB,eddheb
indx066,togo1254,B.1,KANYE,káŋɛ́:
indx052,tomm1242,B.1,KANYE,káŋé
indx073,toro1253,B.1/A.2,KANYE-ourou,"úrà, káŋŋɛ̀"
indx164,tour1242,B.2,sanu,sãŋ
indx001,tuar1240  ,A.2,wura,uraÃ
indx021,wame1240,B.2,sanye,sae´nu´
indx165,wann1242,B.1,KANYE,cã
indx006,west2500,B.2,sanye,sáni
indx041,west2500,Y,yara,"yàara, yàarafaÑ"
indx062,yand1257,B.1,KANYE,káŋɛ̀
indx065,yorn1234,B.1,KANYE,káŋá
indx152,yoru1245,A.2,wura,"wúrà, ìṣùu"
indx003,zarm1239,A.2,wura,ouro
indx029,zarm1239,A.2,ouro,úrà
indx033,zarm1239,A.2,wura,hura
