indx,glott_code,style,form,t1
indx141,abee1242,E,go,ŋ̀gō
indx140,abid1235,W,mwe,múhú
indx142,abro1238,B.1,neN,ǹɟɩ̃́nɩ̃́
indx143,abur1243,W,mwe,m̀mɛ̀
indx144,adio1239,X,mok,mók`
indx145,alla1248,E,gwe,n̄gɥɛ̀
indx087,ampa1238,D,miye,mɛnjɛ
indx139,anyi1245,B.1,neN,ǹɟɩ̃̂
indx146,atti1239,Z,–ze,dʒɛ̃̀
indx147,avik1243,X,sa,ɛ́sã́
indx022,azer1256,S,sape,safe
indx030,bady1239,A.1,kore,måkore
indx050,bamb1269,A.1,ko,kogho
indx084,bank1259,C,neN,nɛm
indx148,baou1238,B.2,neN,ɲ ɟĩ 
indx027,bass1258,H,gyi,ngÄ`l
indx028,bass1258,B.2,nyiri,Ñiry
indx039,beng1286,B.1,nye,nyi''
indx043,beng1286,B.3/4,bie/wie,biè
indx083,bent1238,C,neN,nɛm
indx019,biss1248,B.2,nye,yè
indx035,biss1248,B,nye,yè
indx180,boko1266,W,wisi,wisi
indx088,buno1241,A.1,komunu,komunu
indx033,busa1253,W,wesi,usi
indx006,cent2018,A.1,kuro,kjuro
indx015,cent2018,Z,laman/mannda,lam•am
indx016,cent2018,Y,mannda,mannda
indx132,dalo1238,G,gibhi,gïbhï
indx047,dann1241,W,we,wé
indx077,dogu1235,C,neN,nem
indx069,donn1239,C,neN,neŋ
indx021,dyul1238,A.1,kuru,kéøg
indx138,ebri1238,B.1,neN,ɛ̃́njè
indx091,egaa1242,A.2,ago,àgò
indx044,gagu1242,H,gye,gyè
indx032,gamb1252,A.1,korom,xorom
indx130,godi1239,H,gli,glü
indx045,guro1248,W,we,wè
indx074,guru1265,C,neN,nɛm
indx018,hain1253,A.2,kiri,x’`l’`
indx098,haus1257,K,dleru,Dleru
indx020,humb1243,A.2,kiri,ciiri
indx162,jalk1242,A,ko ,kòò
indx072,jams1239,C,neN,nɛm
indx013,jena1242,A.1,ko,kuø
indx005,koyr1240,A.2,kiri,chiri
indx137,krob1245,W,mwe,m̀mwɛ̃̄
indx168,mand1436,A,ko,koo-foroo
indx042,mann1248,W,we,wè
indx017,maty1235,N.2,nyimbi,yÏ~ÏmbÌ
indx037,maty1235,B.2,nye,yisi
indx038,maya1281,B.1,nye,nyè
indx136,mbat1247,Z,–ze,ṍɟē
indx086,momb1254,C,neN,newⁿ
indx193,moss1236,X,yaar,yaarem
indx049,mwan1250,W,we,wéy
indx085,nang1261,C,neN,nɛmi
indx177,nucl1240,X,tna,"tna, tnányen"
indx135,nzim1238,C,neN,ɲ̀ɟɩ̃̀ĩɩ̃́
indx089,pena1270,C,neN,nɛm
indx073,perg1234,C,neN,nɛm
indx090,sere1260,X,jem,jem
indx008,soni1259,S,sappe,sappe
indx003,susu1250,F,faux,fàuxé´
indx004,susu1250,A.1,ko,kçøø
indx009,tama1365,T,tesemt,tesŒmt
indx079,tebu1239,C,neN,neme
indx082,tira1258  ,C,neN,nɛwⁿ
indx075,togo1254,D,miye,mɛ
indx068,tomm1242,D,miye,miyɛⁿ
indx071,tomm1242,C,neN,nɛm
indx067,toro1253  ,C,neN,nɛŋ
indx061,tour1242,W,we,wei
indx002,tuar1240  ,T,tesemt,tesŒmt‚
indx062,wann1242,A.1,ko,ɔ
indx011,west2500,A.1,ko,kòo
indx097,wuzl1236,P,belema,bə̀lə̀mà
indx110,yand1257,C,neN,nɛ̀m
indx046,yaou1238,W,we,wè
indx070,yorn1234,C,neN,nɛm
indx192,yoru1245,Y,iyo,iyọ̀
indx001,zarm1239,A.2,kiri,cìirì
